"RN","CLIENTE","CD_ALOCACAO","DATA_HORA_VAZAO","TURNO","DATA_SAIDA_CAMINHAO","DATA_CHEGADA_CAMINHAO","DESCRICAO_TIPO_CARGA","PESO_PADRAO","DISTANCIA","VAZAO_FRENTE"
1,CERRADINHO,632835,2024-10-14 01:09:00.000,NOITE,2024-10-14 01:10:48.000,2024-10-14 05:46:01.000,RODOTREM PROPRIO,60,45.77,
1,CERRADINHO,632842,2024-10-14 01:47:00.000,NOITE,2024-10-14 01:47:51.000,2024-10-14 05:47:02.000,RODOTREM PROPRIO,60,30.26,
1,CERRADINHO,632874,2024-10-14 04:03:00.000,NOITE,2024-10-14 04:03:36.000,2024-10-14 05:47:55.000,RODOTREM TERCEIRO,60,28.01,208.4
1,CERRADINHO,632877,2024-10-14 04:21:00.000,NOITE,2024-10-14 04:22:53.000,2024-10-14 05:48:48.000,RODOTREM TERCEIRO,60,28.01,208.89
1,CERRADINHO,632868,2024-10-14 03:35:00.000,NOITE,2024-10-14 03:35:58.000,2024-10-14 05:50:08.000,RODOTREM TERCEIRO,60,31.73,133.39
1,CERRADINHO,632855,2024-10-14 02:35:00.000,NOITE,2024-10-14 02:35:38.000,2024-10-14 06:05:51.000,RODOTREM PROPRIO,60,45.77,
1,CERRADINHO,632845,2024-10-14 01:57:00.000,NOITE,2024-10-14 01:57:45.000,2024-10-14 06:13:40.000,RODOTREM PROPRIO,60,49.22,
1,CERRADINHO,632878,2024-10-14 04:27:00.000,NOITE,2024-10-14 04:27:08.000,2024-10-14 06:17:43.000,RODOTREM TERCEIRO,60,23.84,155.25
1,CERRADINHO,632870,2024-10-14 03:43:00.000,NOITE,2024-10-14 03:43:26.000,2024-10-14 06:19:10.000,RODOTREM PROPRIO,60,30.26,
1,CERRADINHO,632876,2024-10-14 04:21:00.000,NOITE,2024-10-14 04:22:08.000,2024-10-14 06:24:42.000,RODOTREM PROPRIO,60,31.73,109.3
1,CERRADINHO,632841,2024-10-14 01:41:00.000,NOITE,2024-10-14 01:41:04.000,2024-10-14 06:27:57.000,RODOTREM PROPRIO,60,64.16,
1,CERRADINHO,632850,2024-10-14 02:21:00.000,NOITE,2024-10-14 02:22:48.000,2024-10-14 06:33:29.000,RODOTREM PROPRIO,60,64.16,
1,CERRADINHO,632865,2024-10-14 03:23:00.000,NOITE,2024-10-14 03:23:52.000,2024-10-14 06:39:02.000,RODOTREM PROPRIO,60,49.22,
1,CERRADINHO,632882,2024-10-14 05:19:00.000,NOITE,2024-10-14 05:19:29.000,2024-10-14 06:40:30.000,RODOTREM TERCEIRO,60,28.01,205
1,CERRADINHO,632881,2024-10-14 05:15:00.000,NOITE,2024-10-14 05:16:53.000,2024-10-14 06:47:49.000,RODOTREM TERCEIRO,60,28.01,205
1,CERRADINHO,632891,2024-10-14 05:39:00.000,NOITE,2024-10-14 05:39:40.000,2024-10-14 06:50:42.000,RODOTREM PROPRIO,60,23.84,156.42
1,CERRADINHO,632880,2024-10-14 05:07:00.000,NOITE,2024-10-14 05:07:32.000,2024-10-14 06:59:37.000,RODOTREM PROPRIO,60,16.24,0
1,CERRADINHO,632861,2024-10-14 03:07:00.000,NOITE,2024-10-14 03:07:34.000,2024-10-14 07:03:24.000,RODOTREM PROPRIO,60,64.16,
1,CERRADINHO,632840,2024-10-14 01:39:00.000,NOITE,2024-10-14 01:39:59.000,2024-10-14 07:10:21.000,RODOTREM PROPRIO,60,78.42,
1,CERRADINHO,632895,2024-10-14 05:49:00.000,NOITE,2024-10-14 05:50:28.000,2024-10-14 07:20:45.000,RODOTREM PROPRIO,60,31.73,110.65
1,CERRADINHO,632892,2024-10-14 05:39:00.000,NOITE,2024-10-14 05:40:00.000,2024-10-14 07:23:53.000,RODOTREM PROPRIO,60,28.01,237.35
1,CERRADINHO,632886,2024-10-14 05:31:00.000,NOITE,2024-10-14 05:31:27.000,2024-10-14 07:24:10.000,RODOTREM PROPRIO,60,28.01,192.64
1,CERRADINHO,632885,2024-10-14 05:29:00.000,NOITE,2024-10-14 05:29:44.000,2024-10-14 07:28:09.000,RODOTREM PROPRIO,60,31.73,111.09
1,CERRADINHO,632893,2024-10-14 05:41:00.000,NOITE,2024-10-14 05:41:29.000,2024-10-14 07:28:17.000,RODOTREM PROPRIO,60,28.01,255.59
1,CERRADINHO,632884,2024-10-14 05:27:00.000,NOITE,2024-10-14 05:27:35.000,2024-10-14 07:37:55.000,RODOTREM PROPRIO,60,30.26,
1,CERRADINHO,632904,2024-10-14 06:43:00.000,MANHA,2024-10-14 06:44:07.000,2024-10-14 07:50:48.000,RODOTREM PROPRIO,60,31.73,210.1
1,CERRADINHO,632903,2024-10-14 06:43:00.000,MANHA,2024-10-14 06:43:43.000,2024-10-14 08:03:30.000,RODOTREM TERCEIRO,60,28.01,222.9
1,CERRADINHO,632900,2024-10-14 06:15:00.000,MANHA,2024-10-14 06:16:50.000,2024-10-14 08:11:35.000,RODOTREM PROPRIO,60,31.73,184.88
1,CERRADINHO,632871,2024-10-14 03:43:00.000,NOITE,2024-10-14 03:43:53.000,2024-10-14 08:21:25.000,RODOTREM PROPRIO,60,45.77,
1,CERRADINHO,632905,2024-10-14 06:47:00.000,MANHA,2024-10-14 06:48:31.000,2024-10-14 08:26:19.000,RODOTREM PROPRIO,60,28.01,222.9
1,CERRADINHO,632888,2024-10-14 05:35:00.000,NOITE,2024-10-14 05:35:46.000,2024-10-14 08:32:53.000,RODOTREM PROPRIO,60,63.4,93.05
1,CERRADINHO,632909,2024-10-14 07:01:00.000,MANHA,2024-10-14 07:02:46.000,2024-10-14 08:38:48.000,RODOTREM PROPRIO,60,23.84,76.51
1,CERRADINHO,632906,2024-10-14 06:53:00.000,MANHA,2024-10-14 06:54:31.000,2024-10-14 08:40:12.000,RODOTREM PROPRIO,60,16.24,77.92
1,CERRADINHO,632866,2024-10-14 03:27:00.000,NOITE,2024-10-14 03:27:09.000,2024-10-14 08:44:48.000,RODOTREM PROPRIO,60,78.42,
1,CERRADINHO,632908,2024-10-14 07:01:00.000,MANHA,2024-10-14 07:01:00.000,2024-10-14 08:44:50.000,RODOTREM PROPRIO,60,31.73,177.21
1,CERRADINHO,632883,2024-10-14 05:25:00.000,NOITE,2024-10-14 05:25:55.000,2024-10-14 08:57:34.000,RODOTREM PROPRIO,60,45.77,
1,CERRADINHO,632910,2024-10-14 07:05:00.000,MANHA,2024-10-14 07:06:33.000,2024-10-14 09:06:15.000,RODOTREM PROPRIO,60,28.01,217.42
1,CERRADINHO,632933,2024-10-14 09:01:00.000,MANHA,2024-10-14 09:02:50.000,2024-10-14 09:07:45.000,RODOTREM TERCEIRO,60,23.84,156.52
1,CERRADINHO,632894,2024-10-14 05:45:00.000,NOITE,2024-10-14 05:46:08.000,2024-10-14 09:07:56.000,RODOTREM TERCEIRO,60,63.4,93.05
1,CERRADINHO,632901,2024-10-14 06:19:00.000,MANHA,2024-10-14 06:20:45.000,2024-10-14 09:10:44.000,RODOTREM PROPRIO,60,63.4,138.49
1,CERRADINHO,632873,2024-10-14 03:51:00.000,NOITE,2024-10-14 03:51:01.000,2024-10-14 09:12:59.000,RODOTREM PROPRIO,60,64.16,
1,CERRADINHO,632913,2024-10-14 07:19:00.000,MANHA,2024-10-14 07:19:53.000,2024-10-14 09:15:05.000,RODOTREM TERCEIRO,60,31.73,201.11
1,CERRADINHO,632902,2024-10-14 06:35:00.000,MANHA,2024-10-14 06:36:06.000,2024-10-14 09:16:44.000,RODOTREM TERCEIRO,60,30.26,
1,CERRADINHO,632875,2024-10-14 04:05:00.000,NOITE,2024-10-14 04:05:29.000,2024-10-14 09:27:45.000,RODOTREM PROPRIO,60,63.4,134.49
1,CERRADINHO,632899,2024-10-14 06:03:00.000,MANHA,2024-10-14 06:04:06.000,2024-10-14 09:40:44.000,RODOTREM PROPRIO,60,45.77,
1,CERRADINHO,632879,2024-10-14 04:29:00.000,NOITE,2024-10-14 04:29:04.000,2024-10-14 09:42:00.000,RODOTREM PROPRIO,60,64.16,
1,CERRADINHO,632872,2024-10-14 03:45:00.000,NOITE,2024-10-14 03:46:43.000,2024-10-14 09:43:20.000,RODOTREM PROPRIO,60,64.16,
1,CERRADINHO,632889,2024-10-14 05:35:00.000,NOITE,2024-10-14 05:36:09.000,2024-10-14 09:50:13.000,RODOTREM PROPRIO,60,64.16,
1,CERRADINHO,632920,2024-10-14 07:57:00.000,MANHA,2024-10-14 07:57:25.000,2024-10-14 09:51:40.000,RODOTREM PROPRIO,60,31.73,245.97
1,CERRADINHO,632925,2024-10-14 08:25:00.000,MANHA,2024-10-14 08:26:32.000,2024-10-14 10:01:03.000,RODOTREM TERCEIRO,60,28.01,321.36
1,CERRADINHO,632928,2024-10-14 08:33:00.000,MANHA,2024-10-14 08:33:35.000,2024-10-14 10:04:49.000,RODOTREM TERCEIRO,60,23.84,155.26
1,CERRADINHO,632945,2024-10-14 10:01:00.000,MANHA,2024-10-14 10:02:02.000,2024-10-14 10:06:48.000,RODOTREM TERCEIRO,60,63.4,72.3
1,CERRADINHO,632926,2024-10-14 08:29:00.000,MANHA,2024-10-14 08:29:26.000,2024-10-14 10:10:14.000,RODOTREM PROPRIO,60,16.24,76.46
1,CERRADINHO,632921,2024-10-14 08:03:00.000,MANHA,2024-10-14 08:04:33.000,2024-10-14 10:13:00.000,RODOTREM PROPRIO,60,28.01,318.53
1,CERRADINHO,632898,2024-10-14 06:03:00.000,MANHA,2024-10-14 06:03:36.000,2024-10-14 10:18:29.000,RODOTREM PROPRIO,60,64.16,
1,CERRADINHO,632915,2024-10-14 07:29:00.000,MANHA,2024-10-14 07:29:39.000,2024-10-14 10:19:59.000,RODOTREM PROPRIO,60,63.4,142.21
1,CERRADINHO,632896,2024-10-14 05:59:00.000,NOITE,2024-10-14 05:59:28.000,2024-10-14 10:22:57.000,RODOTREM PROPRIO,60,45.77,
1,CERRADINHO,632911,2024-10-14 07:07:00.000,MANHA,2024-10-14 07:08:59.000,2024-10-14 10:35:19.000,RODOTREM PROPRIO,60,30.26,
1,CERRADINHO,632929,2024-10-14 08:37:00.000,MANHA,2024-10-14 08:37:38.000,2024-10-14 10:41:49.000,RODOTREM PROPRIO,60,31.73,202.38
1,CERRADINHO,632887,2024-10-14 05:33:00.000,NOITE,2024-10-14 05:34:47.000,2024-10-14 10:44:53.000,RODOTREM PROPRIO,60,78.42,
1,CERRADINHO,632916,2024-10-14 07:35:00.000,MANHA,2024-10-14 07:35:27.000,2024-10-14 11:05:25.000,RODOTREM TERCEIRO,60,30.26,
1,CERRADINHO,632912,2024-10-14 07:15:00.000,MANHA,2024-10-14 07:15:50.000,2024-10-14 11:08:10.000,RODOTREM PROPRIO,60,64.16,
1,CERRADINHO,632897,2024-10-14 06:01:00.000,MANHA,2024-10-14 06:02:46.000,2024-10-14 11:11:52.000,RODOTREM PROPRIO,60,78.42,
1,CERRADINHO,632890,2024-10-14 05:37:00.000,NOITE,2024-10-14 05:37:48.000,2024-10-14 11:14:00.000,RODOTREM PROPRIO,60,49.22,
1,CERRADINHO,632938,2024-10-14 09:31:00.000,MANHA,2024-10-14 09:31:41.000,2024-10-14 11:14:13.000,RODOTREM PROPRIO,60,28.01,310.98
1,CERRADINHO,632918,2024-10-14 07:51:00.000,MANHA,2024-10-14 07:51:07.000,2024-10-14 11:19:07.000,RODOTREM PROPRIO,60,45.77,
1,CERRADINHO,632937,2024-10-14 09:23:00.000,MANHA,2024-10-14 09:23:56.000,2024-10-14 11:27:49.000,RODOTREM PROPRIO,60,30.26,
1,CERRADINHO,632922,2024-10-14 08:11:00.000,MANHA,2024-10-14 08:12:06.000,2024-10-14 11:28:27.000,RODOTREM PROPRIO,60,63.4,149.16
1,CERRADINHO,632941,2024-10-14 09:43:00.000,MANHA,2024-10-14 09:44:56.000,2024-10-14 11:30:12.000,RODOTREM PROPRIO,60,23.84,155.69
1,CERRADINHO,632942,2024-10-14 09:45:00.000,MANHA,2024-10-14 09:46:58.000,2024-10-14 11:30:12.000,RODOTREM TERCEIRO,60,28.01,311.65
1,CERRADINHO,632924,2024-10-14 08:23:00.000,MANHA,2024-10-14 08:24:31.000,2024-10-14 11:34:37.000,RODOTREM TERCEIRO,60,31.73,201.52
1,CERRADINHO,632965,2024-10-14 11:35:00.000,MANHA,2024-10-14 11:36:53.000,2024-10-14 11:44:14.000,RODOTREM TERCEIRO,60,31.73,152.72
1,CERRADINHO,632914,2024-10-14 07:23:00.000,MANHA,2024-10-14 07:24:37.000,2024-10-14 11:48:03.000,RODOTREM PROPRIO,60,49.22,
1,CERRADINHO,632947,2024-10-14 10:05:00.000,MANHA,2024-10-14 10:05:56.000,2024-10-14 11:56:27.000,RODOTREM TERCEIRO,60,28.01,248.28
1,CERRADINHO,632953,2024-10-14 10:35:00.000,MANHA,2024-10-14 10:35:31.000,2024-10-14 11:56:28.000,RODOTREM TERCEIRO,60,23.84,0
1,CERRADINHO,632946,2024-10-14 10:03:00.000,MANHA,2024-10-14 10:04:58.000,2024-10-14 12:00:28.000,RODOTREM PROPRIO,60,16.24,71.93
1,CERRADINHO,632932,2024-10-14 09:01:00.000,MANHA,2024-10-14 09:01:06.000,2024-10-14 12:04:25.000,RODOTREM PROPRIO,60,31.73,136.43
1,CERRADINHO,632930,2024-10-14 08:45:00.000,MANHA,2024-10-14 08:46:34.000,2024-10-14 12:07:56.000,RODOTREM PROPRIO,60,63.4,196.87
1,CERRADINHO,632935,2024-10-14 09:19:00.000,MANHA,2024-10-14 09:20:38.000,2024-10-14 12:14:53.000,RODOTREM PROPRIO,60,45.77,
1,CERRADINHO,632955,2024-10-14 10:41:00.000,MANHA,2024-10-14 10:42:03.000,2024-10-14 12:23:14.000,RODOTREM PROPRIO,60,31.73,148.26
1,CERRADINHO,632949,2024-10-14 10:11:00.000,MANHA,2024-10-14 10:11:26.000,2024-10-14 12:23:54.000,RODOTREM PROPRIO,60,28.01,248.28
1,CERRADINHO,632948,2024-10-14 10:09:00.000,MANHA,2024-10-14 10:10:09.000,2024-10-14 12:25:35.000,RODOTREM PROPRIO,60,31.73,175.46
1,CERRADINHO,632931,2024-10-14 08:53:00.000,MANHA,2024-10-14 08:53:04.000,2024-10-14 12:26:53.000,RODOTREM PROPRIO,60,45.77,
1,CERRADINHO,632917,2024-10-14 07:37:00.000,MANHA,2024-10-14 07:38:55.000,2024-10-14 12:30:23.000,RODOTREM PROPRIO,60,78.42,
1,CERRADINHO,632957,2024-10-14 10:51:00.000,MANHA,2024-10-14 10:52:42.000,2024-10-14 12:38:46.000,RODOTREM TERCEIRO,60,31.73,148.35
1,CERRADINHO,632940,2024-10-14 09:43:00.000,MANHA,2024-10-14 09:43:00.000,2024-10-14 12:42:18.000,RODOTREM TERCEIRO,60,63.4,0
1,CERRADINHO,632919,2024-10-14 07:55:00.000,MANHA,2024-10-14 07:55:36.000,2024-10-14 12:49:30.000,RODOTREM PROPRIO,60,64.16,175.04
1,CERRADINHO,632939,2024-10-14 09:39:00.000,MANHA,2024-10-14 09:40:32.000,2024-10-14 12:56:39.000,RODOTREM PROPRIO,60,64.16,139.51
1,CERRADINHO,632976,2024-10-14 12:09:00.000,MANHA,2024-10-14 12:10:40.000,2024-10-14 13:06:38.000,RODOTREM TERCEIRO,60,23.84,
1,CERRADINHO,632951,2024-10-14 10:19:00.000,MANHA,2024-10-14 10:20:52.000,2024-10-14 13:15:21.000,RODOTREM PROPRIO,60,63.4,72.3
1,CERRADINHO,632943,2024-10-14 09:53:00.000,MANHA,2024-10-14 09:54:44.000,2024-10-14 13:23:29.000,RODOTREM PROPRIO,60,30.26,
1,CERRADINHO,632934,2024-10-14 09:19:00.000,MANHA,2024-10-14 09:19:37.000,2024-10-14 13:25:00.000,RODOTREM PROPRIO,60,78.42,
1,CERRADINHO,632969,2024-10-14 11:59:00.000,MANHA,2024-10-14 11:59:27.000,2024-10-14 13:31:35.000,RODOTREM TERCEIRO,60,31.73,216.34
1,CERRADINHO,632923,2024-10-14 08:13:00.000,MANHA,2024-10-14 08:14:38.000,2024-10-14 13:33:01.000,RODOTREM PROPRIO,60,64.16,180.74
1,CERRADINHO,632967,2024-10-14 11:45:00.000,MANHA,2024-10-14 11:46:33.000,2024-10-14 13:41:45.000,RODOTREM PROPRIO,60,28.01,304.3
1,CERRADINHO,632936,2024-10-14 09:21:00.000,MANHA,2024-10-14 09:22:07.000,2024-10-14 13:43:31.000,RODOTREM PROPRIO,60,64.16,188.47
1,CERRADINHO,632944,2024-10-14 09:59:00.000,MANHA,2024-10-14 09:59:07.000,2024-10-14 13:55:18.000,RODOTREM PROPRIO,60,64.16,180.7
1,CERRADINHO,632952,2024-10-14 10:27:00.000,MANHA,2024-10-14 10:28:53.000,2024-10-14 13:57:20.000,RODOTREM PROPRIO,60,30.26,
1,CERRADINHO,632954,2024-10-14 10:39:00.000,MANHA,2024-10-14 10:39:52.000,2024-10-14 13:57:24.000,RODOTREM PROPRIO,60,63.4,92.9
1,CERRADINHO,632972,2024-10-14 12:03:00.000,MANHA,2024-10-14 12:04:35.000,2024-10-14 14:05:23.000,RODOTREM PROPRIO,60,28.01,303.14
1,CERRADINHO,632971,2024-10-14 12:03:00.000,MANHA,2024-10-14 12:04:19.000,2024-10-14 14:17:03.000,RODOTREM PROPRIO,60,28.01,303.14
1,CERRADINHO,632958,2024-10-14 10:55:00.000,MANHA,2024-10-14 10:55:39.000,2024-10-14 14:18:54.000,RODOTREM PROPRIO,60,49.22,
1,CERRADINHO,632963,2024-10-14 11:35:00.000,MANHA,2024-10-14 11:35:03.000,2024-10-14 14:26:18.000,RODOTREM PROPRIO,60,16.24,0
1,CERRADINHO,632975,2024-10-14 12:07:00.000,MANHA,2024-10-14 12:08:01.000,2024-10-14 14:31:04.000,RODOTREM PROPRIO,60,23.84,
1,CERRADINHO,632977,2024-10-14 12:17:00.000,MANHA,2024-10-14 12:17:17.000,2024-10-14 14:31:22.000,RODOTREM PROPRIO,60,31.73,216.78
