"RN","CLIENTE","CD_ALOCACAO","DATA_HORA_VAZAO","TURNO","DATA_SAIDA_CAMINHAO","DATA_CHEGADA_CAMINHAO","DESCRICAO_TIPO_CARGA","PESO_PADRAO","DISTANCIA","VAZAO_FRENTE"
1,CERRADINHO,574758,2024-03-28 13:05:00.000,MANHA,2024-03-28 13:05:03.000,2024-03-28 13:10:17.000,RODOTREM TERCEIRO,60,63.41,
1,CERRADINHO,574759,2024-03-28 13:09:00.000,MANHA,2024-03-28 13:10:18.000,2024-03-28 13:13:09.000,RODOTREM TERCEIRO,60,63.41,
1,CERRADINHO,574760,2024-03-28 13:11:00.000,MANHA,2024-03-28 13:11:16.000,2024-04-01 16:45:42.000,RODOTREM TERCEIRO,60,63.41,
1,CERRADINHO,574761,2024-03-28 13:13:00.000,MANHA,2024-03-28 13:13:10.000,2024-04-01 19:40:05.000,RODOTREM TERCEIRO,60,63.41,
1,CERRADINHO,574757,2024-03-28 13:03:00.000,MANHA,2024-03-28 13:04:04.000,2024-04-01 19:54:31.000,RODOTREM PROPRIO,60,63.41,
1,CERRADINHO,574756,2024-03-28 13:01:00.000,MANHA,2024-03-28 13:02:18.000,2024-04-01 21:08:19.000,RODOTREM PROPRIO,60,63.41,
